,Audio,Sr,Names,Species
129,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,35701.wav,francolinus
130,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,36019.wav,francolinus
131,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,36021.wav,francolinus
132,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,36302.wav,francolinus
133,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,36391.wav,francolinus
134,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,365.wav,francolinus
135,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,36832.wav,francolinus
136,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,36883.wav,francolinus
137,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,37205.wav,francolinus
138,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,37251.wav,francolinus
139,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,37465.wav,francolinus
140,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,37587.wav,francolinus
141,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,37601.wav,francolinus
142,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,37626.wav,francolinus
143,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,37708.wav,francolinus
144,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,37917.wav,francolinus
145,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,38082.wav,francolinus
146,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,38547.wav,francolinus
147,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,38601.wav,francolinus
148,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,39138.wav,francolinus
149,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,39141.wav,francolinus
150,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,39252.wav,francolinus
151,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,39545.wav,francolinus
152,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,39824.wav,francolinus
153,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,40014.wav,francolinus
154,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,40038.wav,francolinus
155,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,40567.wav,francolinus
156,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,41074.wav,francolinus
157,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,41259.wav,francolinus
158,[0. 0. 0. ... 0. 0. 0.],22050,41309.wav,francolinus
159,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,41563.wav,francolinus
160,[0. 0. 0. ... 0. 0. 0.],22050,41742.wav,francolinus
161,[0. 0. 0. ... 0. 0. 0.],22050,41797.wav,francolinus
162,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,41950.wav,francolinus
163,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,42102.wav,francolinus
164,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,42310.wav,francolinus
165,[0. 0. 0. ... 0. 0. 0.],22050,42314.wav,francolinus
166,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,43073.wav,francolinus
167,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,43330.wav,francolinus
168,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,43352.wav,francolinus
169,[0. 0. 0. ... 0. 0. 0.],22050,43763.wav,francolinus
170,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,43883.wav,francolinus
171,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,44183.wav,francolinus
172,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,44397.wav,francolinus
173,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,44504.wav,francolinus
174,[0. 0. 0. ... 0. 0. 0.],22050,44822.wav,francolinus
175,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,44889.wav,francolinus
176,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,45006.wav,francolinus
177,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,4504.wav,francolinus
178,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,4534.wav,francolinus
179,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,454.wav,francolinus
180,[0. 0. 0. ... 0. 0. 0.],22050,45564.wav,francolinus
181,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,45614.wav,francolinus
182,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,45641.wav,francolinus
183,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,45673.wav,francolinus
184,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,45722.wav,francolinus
185,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,46848.wav,francolinus
186,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,47477.wav,francolinus
187,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,47802.wav,francolinus
188,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,47894.wav,francolinus
189,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,48365.wav,francolinus
190,[0. 0. 0. ... 0. 0. 0.],22050,4848.wav,francolinus
191,[0. 0. 0. ... 0. 0. 0.],22050,48513.wav,francolinus
192,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,48660.wav,francolinus
193,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,49083.wav,francolinus
194,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,49117.wav,francolinus
195,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,4918.wav,francolinus
196,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,49469.wav,francolinus
197,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,49509.wav,francolinus
198,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,49573.wav,francolinus
199,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,49730.wav,francolinus
200,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,49814.wav,francolinus
201,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,49815.wav,francolinus
202,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,49922.wav,francolinus
203,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,50013.wav,francolinus
204,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,50097.wav,francolinus
205,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,50428.wav,francolinus
206,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,50857.wav,francolinus
207,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,5131.wav,francolinus
208,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,5140.wav,francolinus
209,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,51702.wav,francolinus
210,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,51730.wav,francolinus
211,[0. 0. 0. ... 0. 0. 0.],22050,51793.wav,francolinus
212,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,51852.wav,francolinus
213,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,51991.wav,francolinus
214,[0. 0. 0. ... 0. 0. 0.],22050,52005.wav,francolinus
215,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,52230.wav,francolinus
216,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,52436.wav,francolinus
217,[0. 0. 0. ... 0. 0. 0.],22050,5255.wav,francolinus
218,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,52668.wav,francolinus
219,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,52875.wav,francolinus
220,[0. 0. 0. ... 0. 0. 0.],22050,52912.wav,francolinus
221,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,52939.wav,francolinus
222,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,53106.wav,francolinus
223,[0. 0. 0. ... 0. 0. 0.],22050,53134.wav,francolinus
224,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,53376.wav,francolinus
225,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,53422.wav,francolinus
226,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,53507.wav,francolinus
227,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,53542.wav,francolinus
228,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,53871.wav,francolinus
229,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,5393.wav,francolinus
230,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,53951.wav,francolinus
231,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,54024.wav,francolinus
232,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,54079.wav,francolinus
233,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,54240.wav,francolinus
234,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,54353.wav,francolinus
235,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,55163.wav,francolinus
236,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,55268.wav,francolinus
237,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,5534.wav,francolinus
238,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,55483.wav,francolinus
239,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,55562.wav,francolinus
240,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,55597.wav,francolinus
241,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,55615.wav,francolinus
242,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,55711.wav,francolinus
243,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,56032.wav,francolinus
244,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,56045.wav,francolinus
245,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,56051.wav,francolinus
246,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,56259.wav,francolinus
247,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,56595.wav,francolinus
248,"[ 1.7322600e-07 -1.7182902e-07  1.6239937e-07 ...  3.1468820e-02
  2.8422540e-02  2.5275171e-02]",22050,5692.wav,francolinus
249,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,56941.wav,francolinus
250,[0. 0. 0. ... 0. 0. 0.],22050,56991.wav,francolinus
251,[0. 0. 0. ... 0. 0. 0.],22050,57882.wav,francolinus
252,[0. 0. 0. ... 0. 0. 0.],22050,57978.wav,francolinus
253,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,57998.wav,francolinus
254,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,58036.wav,francolinus
255,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,58189.wav,francolinus
256,[0. 0. 0. ... 0. 0. 0.],22050,58530.wav,francolinus
257,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,58808.wav,francolinus
258,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,59424.wav,francolinus
259,[0. 0. 0. ... 0. 0. 0.],22050,5949.wav,francolinus
260,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,59739.wav,francolinus
261,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,60032.wav,francolinus
262,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,60110.wav,francolinus
263,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,60405.wav,francolinus
264,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,60765.wav,francolinus
265,[0. 0. 0. ... 0. 0. 0.],22050,60839.wav,francolinus
266,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,60886.wav,francolinus
267,[0. 0. 0. ... 0. 0. 0.],22050,61086.wav,francolinus
268,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,61151.wav,francolinus
269,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,61571.wav,francolinus
270,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,61643.wav,francolinus
271,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,61650.wav,francolinus
272,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,61678.wav,francolinus
273,[0. 0. 0. ... 0. 0. 0.],22050,61807.wav,francolinus
274,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,62449.wav,francolinus
275,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,6268.wav,francolinus
276,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,62768.wav,francolinus
277,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,62791.wav,francolinus
278,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,628.wav,francolinus
279,[0. 0. 0. ... 0. 0. 0.],22050,62873.wav,francolinus
280,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,62985.wav,francolinus
281,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,63239.wav,francolinus
282,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,63574.wav,francolinus
283,[0. 0. 0. ... 0. 0. 0.],22050,63683.wav,francolinus
284,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,63842.wav,francolinus
285,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,63963.wav,francolinus
286,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,64124.wav,francolinus
287,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,6430.wav,francolinus
288,[0. 0. 0. ... 0. 0. 0.],22050,64410.wav,francolinus
289,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,64837.wav,francolinus
290,"[-2.1827873e-11  5.4569682e-12  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",22050,64901.wav,francolinus
291,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,65005.wav,francolinus
292,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,65330.wav,francolinus
293,[0. 0. 0. ... 0. 0. 0.],22050,6544.wav,francolinus
294,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,65843.wav,francolinus
295,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,6592.wav,francolinus
296,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,65939.wav,francolinus
297,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,66021.wav,francolinus
298,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,66985.wav,francolinus
299,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,67264.wav,francolinus
300,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,67321.wav,francolinus
301,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,67352.wav,francolinus
302,"[ 0.          0.          0.         ... -0.0023702   0.00706462
  0.        ]",22050,6755.wav,francolinus
303,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,67698.wav,francolinus
304,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,67806.wav,francolinus
305,"[-2.5643765e-09  4.4929335e-10 -5.1004645e-10 ... -2.3636588e-09
 -1.7290589e-09  0.0000000e+00]",22050,67989.wav,francolinus
306,"[8.1490725e-10 1.1641532e-10 9.3132257e-10 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",22050,68042.wav,francolinus
307,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,68064.wav,francolinus
308,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,68203.wav,francolinus
309,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,6821.wav,francolinus
310,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,68296.wav,francolinus
311,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,68332.wav,francolinus
312,"[-0.01453998 -0.01974076 -0.00387802 ... -0.00060754 -0.00024137
  0.00176606]",22050,68353.wav,francolinus
313,[0. 0. 0. ... 0. 0. 0.],22050,68517.wav,francolinus
314,"[-1.8667241e-09  5.8608396e-10 -7.1368511e-10 ...  3.3908734e-09
 -1.3628963e-08  0.0000000e+00]",22050,6873.wav,francolinus
315,"[3.7100166e-05 1.9338913e-05 1.8059509e-06 ... 1.1830921e-03 5.6368439e-03
 4.4331308e-03]",22050,6874.wav,francolinus
316,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,68951.wav,francolinus
317,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,69148.wav,francolinus
318,"[-1.2292198e-10 -8.6997176e-10 -3.7031218e-11 ...  1.2138666e-05
  2.3027437e-06 -1.1903071e-06]",22050,69191.wav,francolinus
319,"[ 1.2223609e-09  1.1641532e-09  6.9849193e-10 ... -4.6566129e-09
  2.3283064e-09 -4.6566129e-09]",22050,69365.wav,francolinus
320,[0. 0. 0. ... 0. 0. 0.],22050,69717.wav,francolinus
321,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,69845.wav,francolinus
322,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,7020.wav,francolinus
323,"[-1.7858256e-06 -1.3367695e-05  1.3266224e-05 ...  4.8871851e-03
  3.2495081e-03  2.2609173e-03]",22050,7043.wav,francolinus
324,"[-0.00843282 -0.02639861 -0.00206356 ...  0.00373568  0.00172612
 -0.00050778]",22050,70597.wav,francolinus
325,[0. 0. 0. ... 0. 0. 0.],22050,70735.wav,francolinus
326,"[-5.4985783e-10 -4.3419707e-10 -1.1625839e-10 ...  2.5777696e-04
  2.0339098e-04 -6.9871850e-05]",22050,7115.wav,francolinus
327,[0.00268824 0.00317813 0.00329006 ... 0.00915144 0.00846804 0.00501732],22050,71629.wav,francolinus
328,[0.00438577 0.0059841  0.00567695 ... 0.00333723 0.00195655 0.00104942],22050,71841.wav,francolinus
329,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,71912.wav,francolinus
330,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 3.0517578e-05
 0.0000000e+00]",22050,72014.wav,francolinus
331,"[ 0.00040328  0.00259539  0.00427299 ...  0.00524402  0.0006217
 -0.00487819]",22050,72244.wav,francolinus
332,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,72712.wav,francolinus
333,[0. 0. 0. ... 0. 0. 0.],22050,72841.wav,francolinus
334,"[-0.00374147 -0.00661785 -0.0061362  ...  0.00030065  0.00052465
  0.00058751]",22050,72957.wav,francolinus
335,"[1.19822363e-09 1.37264727e-10 1.02597285e-10 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",22050,73049.wav,francolinus
336,"[ 1.3643123e-10  1.4811094e-10  6.2141028e-11 ... -2.0105950e-05
  8.5190413e-06  6.7578917e-06]",22050,7316.wav,francolinus
